Subject,CreditValues
Editorial assistant,m
"Embryologist, clinical",R
"Civil engineer, consulting",p
Water engineer,B
Lexicographer,a
"Therapist, horticultural",n
"Editor, magazine features",X
Operational investment banker,u
Recycling officer,d
Economist,v
Industrial/product designer,i
Artist,P
Arts development officer,S
Local government officer,Z
Biomedical scientist,b
Advertising account planner,N
Ceramics designer,p
Investment analyst,d
Technical author,f
Ranger/warden,N
Records manager,U
Adult guidance worker,Z
Secretary/administrator,i
"Education officer, museum",P
Retail manager,f
Secondary school teacher,u
"Engineer, electrical",O
"Scientist, research (maths)",w
Pensions consultant,L
Theatre stage manager,a
Health promotion specialist,P
Science writer,v
"Surveyor, hydrographic",T
Museum education officer,M
Adult guidance worker,a
Agricultural engineer,n
"Engineer, technical sales",Z
Nutritional therapist,G
Editorial assistant,c
Counsellor,r
Risk analyst,t
"Accountant, chartered management",k
"Pilot, airline",O
"Geologist, engineering",t
Prison officer,K
Financial planner,F
Sales promotion account executive,x
Gaffer,q
Estate manager/land agent,A
Arboriculturist,k
Insurance underwriter,K
Software engineer,r
Personal assistant,X
"Surveyor, insurance",E
"Editor, commissioning",o
Science writer,f
"Editor, commissioning",D
"Designer, textile",V
"Pharmacist, community",q
Sports therapist,P
Telecommunications researcher,C
Editorial assistant,p
"Restaurant manager, fast food",S
English as a second language teacher,j
Computer games developer,h
Financial manager,K
Actuary,R
Senior tax professional/tax inspector,u
Tax adviser,X
"Engineer, technical sales",j
Chartered certified accountant,Q
Call centre manager,g
Airline pilot,e
Financial adviser,V
Cabin crew,C
Armed forces technical officer,A
"Therapist, horticultural",z
Consulting civil engineer,G
Early years teacher,g
Music therapist,s
Theatre stage manager,G
Prison officer,v
Advertising art director,c
Farm manager,P
Government social research officer,u
Exercise physiologist,U
Early years teacher,Z
Printmaker,N
Banker,h
Astronomer,B
Lexicographer,W
Herbalist,Y
Sports administrator,o
"Engineer, manufacturing systems",O
Chiropodist,W
"Engineer, automotive",A
"Engineer, structural",f
Print production planner,C
"Engineer, manufacturing",e
Marketing executive,O
"Research officer, trade union",r
Air cabin crew,v
Government social research officer,t
Jewellery designer,N
Retail merchandiser,f
Television camera operator,x
Landscape architect,h
"Accountant, chartered",d
Engineering geologist,C
Leisure centre manager,w
Site engineer,N
Mental health nurse,n
Environmental manager,p
"Engineer, petroleum",M
Financial adviser,n
"Editor, magazine features",Q
Theatre manager,i
English as a second language teacher,Q
"Surveyor, insurance",u
Planning and development surveyor,X
"Psychologist, prison and probation services",M
Broadcast engineer,g
Sports therapist,A
IT consultant,m
Textile designer,t
Engineering geologist,G
Photographer,k
Software engineer,K
"Engineer, electrical",J
Estate agent,N
Volunteer coordinator,B
"Scientist, product/process development",J
"Therapist, music",N
Sports therapist,H
"Psychotherapist, dance movement",A
"Teacher, secondary school",E
Legal secretary,P
Quality manager,q
Logistics and distribution manager,y
Patent attorney,f
"Research officer, government",s
Homeopath,E
Fine artist,m
Early years teacher,w
"Investment banker, operational",W
Paramedic,E
Bonds trader,B
"Editor, film/video",t
Legal secretary,w
Chartered management accountant,H
Petroleum engineer,v
Merchant navy officer,S
Public relations account executive,Y
Prison officer,Z
"Scientist, research (medical)",T
Mental health nurse,G
"Programmer, systems",Z
Newspaper journalist,j
Farm manager,L
"Civil engineer, contracting",q
Haematologist,J
Dealer,d
Surgeon,J
Financial trader,F
"Loss adjuster, chartered",E
Network engineer,M
Ecologist,T
Fisheries officer,J
"Psychotherapist, child",w
"Designer, blown glass/stained glass",p
"Teacher, music",Y
"Scientist, product/process development",o
Technical brewer,G
"Social research officer, government",N
Chartered certified accountant,U
Insurance broker,l
Government social research officer,N
Field trials officer,t
"Designer, jewellery",Y
Operational investment banker,a
"Psychologist, clinical",q
Higher education careers adviser,l
Conference centre manager,n
Broadcast engineer,s
Actor,I
Catering manager,W
Careers information officer,I
Sports therapist,G
Legal executive,w
"Scientist, research (maths)",S
English as a second language teacher,R
Civil Service administrator,T
Tax inspector,E
Multimedia specialist,j
Camera operator,s
Location manager,U
Publishing copy,V
Transport planner,K
Civil Service administrator,T
Social worker,x
Soil scientist,s
Private music teacher,d
Theme park manager,T
"Teacher, music",U
Community education officer,Q
Chartered public finance accountant,B
Sales promotion account executive,O
Animator,E
Ship broker,R
Clinical embryologist,N
Network engineer,s
Electronics engineer,J
"Buyer, industrial",C
Travel agency manager,S
Maintenance engineer,q
Hydrologist,U
Equities trader,p
Dietitian,T
Soil scientist,N
Early years teacher,d
Outdoor activities/education manager,C
Soil scientist,I
Commercial horticulturist,n
Higher education lecturer,t
Corporate investment banker,D
Medical physicist,H
Film/video editor,W
Barrister,y
Illustrator,B
Broadcast presenter,J
Quality manager,w
Fitness centre manager,D
Microbiologist,Y
Marketing executive,p
"Engineer, water",S
"Designer, fashion/clothing",O
Audiological scientist,R
Musician,O
"Merchandiser, retail",j
Cartographer,x
"Civil engineer, contracting",p
Clinical cytogeneticist,F
"Doctor, hospital",M
Location manager,U
Special effects artist,V
Film/video editor,P
Administrator,Y
"Therapist, speech and language",w
Trading standards officer,x
"Engineer, production",l
"Nurse, mental health",H
"Therapist, sports",l
Sports administrator,C
Animal nutritionist,w
Academic librarian,y
Water quality scientist,F
Health service manager,S
Web designer,B
Building services engineer,n
Physiological scientist,m
"Clinical scientist, histocompatibility and immunogenetics",f
Stage manager,t
Secretary/administrator,N
Field trials officer,Q
"Administrator, local government",N
"Teacher, early years/pre",r
"Investment banker, corporate",L
Licensed conveyancer,k
Textile designer,Z
Network engineer,m
Company secretary,v
"Clinical scientist, histocompatibility and immunogenetics",F
Licensed conveyancer,s
Occupational hygienist,b
Naval architect,d
Arts development officer,E
"Presenter, broadcasting",j
Information officer,Q
English as a second language teacher,F
Printmaker,w
Database administrator,P
Orthoptist,j
"Development worker, international aid",U
Forensic scientist,x
"Librarian, academic",y
Applications developer,x
Television production assistant,T
"Biochemist, clinical",u
"Engineer, drilling",r
Ergonomist,n
Research scientist (life sciences),g
Energy manager,K
Land/geomatics surveyor,F
Waste management officer,V
Risk manager,W
Multimedia programmer,W
Multimedia programmer,H
Health promotion specialist,B
Animal nutritionist,P
"Presenter, broadcasting",I
Archaeologist,y
Podiatrist,r
"Radiographer, therapeutic",U
"Lighting technician, broadcasting/film/video",S
Warden/ranger,Y
Technical brewer,i
"Education officer, museum",R
"Librarian, academic",w
Insurance broker,I
"Copywriter, advertising",w
"Engineer, mining",a
Drilling engineer,l
Structural engineer,p
Meteorologist,a
"Chemist, analytical",O
Intelligence analyst,p
Special effects artist,n
Psychotherapist,p
Chiropractor,C
"Psychologist, forensic",W
Warehouse manager,p
Data processing manager,n
Theatre stage manager,i
Minerals surveyor,E
"Horticulturist, amenity",E
Claims inspector/assessor,A
Customer service manager,M
"Programme researcher, broadcasting/film/video",w
Arts development officer,p
Cabin crew,E
Marketing executive,w
Personal assistant,w
Television production assistant,L
Adult guidance worker,S
"Pharmacist, hospital",e
Ophthalmologist,c
Phytotherapist,B
Accounting technician,G
Armed forces logistics/support/administrative officer,z
Osteopath,T
Technical brewer,G
Television production assistant,F
Acupuncturist,W
Cartographer,y
"Psychologist, forensic",b
Fitness centre manager,T
Hospital doctor,o
Paramedic,J
Cabin crew,u
Dentist,x
Banker,k
Software engineer,T
Hydrogeologist,X
Animal nutritionist,c
Retail manager,F
Clinical embryologist,n
Production manager,e
Facilities manager,G
Arts development officer,n
"Nurse, mental health",G
TEFL teacher,A
Forensic psychologist,P
Ecologist,e
"Administrator, sports",r
Accounting technician,u
"Engineer, manufacturing systems",x
Systems analyst,m
Stage manager,R
"Engineer, site",o
Volunteer coordinator,t
Garment/textile technologist,B
"Accountant, chartered certified",z
Research scientist (maths),T
Pharmacologist,K
Child psychotherapist,t
Child psychotherapist,H
Retail buyer,e
Arts development officer,w
"Psychotherapist, dance movement",L
Call centre manager,J
"Engineer, agricultural",z
"Psychologist, sport and exercise",w
"Therapist, art",f
"Pharmacist, hospital",E
Geochemist,H
"Geologist, wellsite",c
Mental health nurse,W
Medical illustrator,q
Economist,t
"Research officer, government",E
Event organiser,m
Careers information officer,t
Chartered legal executive (England and Wales),v
Operational researcher,y
Water engineer,v
Civil Service fast streamer,H
Learning disability nurse,q
Warehouse manager,g
"Engineer, agricultural",G
Warden/ranger,Z
Fish farm manager,B
Cabin crew,O
Theme park manager,x
Trading standards officer,b
Farm manager,u
"Engineer, production",h
Electrical engineer,j
Media planner,P
Tourism officer,w
Sports administrator,u
Web designer,m
"Clinical scientist, histocompatibility and immunogenetics",I
Systems analyst,w
Scientific laboratory technician,w
